"","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","clusters$cluster"
"1","Male","No",22,"No","Healthcare",1,"Low",4,6
"3","Female","Yes",67,"Yes","Engineer",1,"Low",1,1
"4","Male","Yes",67,"Yes","Lawyer",0,"High",2,4
"6","Male","Yes",56,"No","Artist",0,"Average",2,3
"7","Male","No",32,"Yes","Healthcare",1,"Low",3,6
"8","Female","No",33,"Yes","Healthcare",1,"Low",3,6
"9","Female","Yes",61,"Yes","Engineer",0,"Low",3,1
"10","Female","Yes",55,"Yes","Artist",1,"Average",4,3
"11","Female","No",26,"Yes","Engineer",1,"Low",3,1
"12","Male","No",19,"No","Healthcare",4,"Low",4,6
"15","Female","Yes",58,"No","Doctor",0,"Low",1,5
"16","Female","No",41,"No","Healthcare",1,"Low",2,6
"17","Female","No",32,"No","Homemaker",9,"Low",5,1
"18","Male","No",31,"No","Healthcare",1,"Low",6,6
"19","Male","Yes",58,"Yes","Entertainment",1,"Average",4,3
"20","Female","Yes",79,"Yes","Artist",0,"High",1,5
"21","Male","Yes",49,"Yes","Homemaker",12,"Low",1,1
"22","Female","No",18,"No","Healthcare",3,"Low",4,6
"23","Male","Yes",33,"Yes","Artist",13,"Low",2,5
"24","Female","No",36,"Yes","Artist",5,"Low",2,5
"26","Male","Yes",56,"No","Artist",1,"Average",3,3
"27","Male","No",31,"No","Healthcare",9,"Low",8,6
"28","Male","Yes",49,"Yes","Artist",1,"Average",3,3
"29","Male","No",35,"Yes","Artist",0,"Low",1,5
"30","Female","No",35,"No","Artist",5,"Low",4,5
"31","Female","Yes",45,"Yes","Artist",0,"Low",3,5
"32","Female","Yes",42,"No","Doctor",1,"Low",2,5
"33","Male","No",19,"No","Healthcare",1,"Low",3,6
"35","Female","Yes",83,"No","Lawyer",1,"High",2,4
"36","Female","No",27,"Yes","Healthcare",3,"Low",4,6
"37","Male","No",32,"No","Doctor",5,"Low",1,5
"38","Female","Yes",28,"No","Healthcare",1,"Average",5,6
"39","Female","Yes",28,"Yes","Artist",8,"Low",2,5
"41","Female","No",47,"Yes","Artist",4,"Low",1,5
"42","Female","No",22,"No","Healthcare",0,"Low",2,6
"43","Female","No",27,"Yes","Artist",14,"Low",3,5
"44","Female","Yes",49,"Yes","Artist",1,"Low",2,5
"45","Male","Yes",40,"No","Engineer",8,"Low",1,1
"47","Male","Yes",41,"Yes","Artist",0,"Average",4,3
"49","Male","No",19,"No","Healthcare",0,"Low",4,6
"50","Female","No",45,"Yes","Engineer",1,"Low",1,1
"51","Female","Yes",61,"No","Artist",1,"Average",2,3
"52","Female","Yes",36,"Yes","Artist",1,"Average",2,3
"53","Male","Yes",40,"Yes","Artist",1,"Low",1,5
"54","Female","Yes",57,"Yes","Entertainment",0,"Average",2,3
"55","Male","Yes",76,"No","Marketing",1,"Low",1,5
"56","Male","Yes",32,"Yes","Artist",14,"Average",2,3
"57","Male","No",25,"Yes","Healthcare",9,"Low",4,6
"59","Female","Yes",45,"Yes","Artist",1,"Average",3,3
"61","Male","Yes",48,"Yes","Artist",0,"Average",2,3
"62","Male","Yes",55,"Yes","Artist",9,"Average",2,3
"63","Male","Yes",74,"Yes","Lawyer",0,"High",3,4
"64","Male","Yes",56,"Yes","Lawyer",1,"High",2,4
"65","Male","Yes",59,"Yes","Lawyer",7,"High",2,4
"66","Male","No",25,"Yes","Entertainment",0,"Low",2,5
"67","Male","Yes",31,"Yes","Doctor",0,"Average",2,3
"68","Male","No",27,"No","Artist",8,"Low",4,5
"69","Male","Yes",57,"Yes","Artist",0,"Average",4,3
"71","Male","Yes",27,"Yes","Healthcare",8,"Low",2,6
"72","Female","Yes",51,"Yes","Entertainment",8,"Average",2,3
"73","Female","Yes",47,"No","Artist",0,"Average",5,3
"74","Female","No",33,"No","Healthcare",8,"Low",4,6
"75","Male","Yes",56,"Yes","Artist",0,"Average",4,3
"76","Female","No",33,"No","Homemaker",0,"Low",3,1
"77","Female","No",36,"Yes","Doctor",0,"Low",2,5
"78","Male","Yes",51,"No","Artist",4,"Low",3,5
"79","Male","Yes",45,"Yes","Engineer",2,"Average",2,1
