museum_id,day,open,close,open_time,close_time,duration,rank
40,Friday,09:00:AM,09:45:PM,09:00:00,21:45:00,12:45:00,1
49,Thursday,09:30:AM,09:45:PM,09:30:00,21:45:00,12:15:00,2
35,Friday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
35,Saturday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
39,Friday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
47,Friday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
69,Friday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
72,Thusday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
76,Thusday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
77,Thusday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
81,Tuesday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
82,Tuesday,10:00:AM,09:00:PM,10:00:00,21:00:00,11:00:00,3
70,Sunday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
70,Tuesday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
70,Wednesday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
70,Thusday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
70,Friday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
70,Saturday,08:15:AM,06:30:PM,08:15:00,18:30:00,10:15:00,13
33,Tuesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
36,Thursday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
36,Friday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
45,Wednesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
45,Thursday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Monday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Tuesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Wednesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Thursday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Friday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
50,Saturday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
54,Thursday,11:00:AM,09:00:PM,11:00:00,21:00:00,10:00:00,19
55,Saturday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
79,Tuesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
79,Wednesday,10:00:AM,08:00:PM,10:00:00,20:00:00,10:00:00,19
80,Friday,11:00:AM,09:00:PM,11:00:00,21:00:00,10:00:00,19
67,Friday,11:00:AM,08:45:PM,11:00:00,20:45:00,09:45:00,35
34,Tuesday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
34,Friday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
34,Saturday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
40,Sunday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
40,Monday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
40,Wednesday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
40,Thursday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
40,Saturday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
50,Sunday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Sunday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Tuesday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Wednesday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Thursday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Friday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
56,Saturday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
57,Sunday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Monday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Tuesday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Wednesday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Thursday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Friday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
57,Saturday,09:00:AM,06:00:PM,09:00:00,18:00:00,09:00:00,36
