museum_id,day,open,close
30,Saturday,10:30:AM,07:00:PM
31,Saturday,11:00:AM,06:00:PM
32,Saturday,10:00:AM,05:00:PM
33,Saturday,10:00:AM,06:00:PM
34,Saturday,11:00:AM,08:00:PM
35,Saturday,10:00:AM,09:00:PM
36,Saturday,10:00:AM,06:00:PM
37,Saturday,10:00:AM,06:30:PM
39,Saturday,10:00:AM,05:00:PM
40,Saturday,09:00:AM,06:00:PM
41,Saturday,10:00:AM,05:00:PM
42,Saturday,10:00:AM,05:00:PM
43,Saturday,09:00:AM,05:00:PM
44,Saturday,10:00:AM,05:00:PM
45,Saturday,10:00:AM,06:00:PM
46,Saturday,10:00:AM,05:00:PM
47,Saturday,10:00:AM,06:00:PM
48,Saturday,10:00:AM,06:00:PM
49,Saturday,09:30:AM,06:00:PM
50,Saturday,10:00:AM,08:00:PM
51,Saturday,11:00:AM,05:00:PM
52,Saturday,10:00:AM,06:00:PM
53,Saturday,10:00:AM,05:00:PM
54,Saturday,11:00:AM,06:00:PM
55,Saturday,10:00:AM,08:00:PM
56,Saturday,10:00:AM,07:00:PM
57,Saturday,09:00:AM,06:00:PM
58,Saturday,11:00:AM,06:00:PM
59,Saturday,11:00:AM,08:00:PM
60,Saturday,10:00:AM,07:00:PM
61,Saturday,11:00:AM,08:00:PM
62,Saturday,10:00:AM,06:00:PM
63,Saturday,11:00:AM,04:00:PM
64,Saturday,10:00:AM,06:00:PM
65,Saturday,09:30:AM,05:15:PM
66,Saturday,11:30:AM,07:00:PM
67,Saturday,10:00:AM,05:00:PM
68,Saturday,11:00:AM,05:00:PM
69,Saturday,10:00:AM,04:30:PM
70,Saturday,08:15:AM,06:30:PM
71,Saturday,09:00:AM,03:30:PM
72,Saturday,10:00:AM,05:00:PM
73,Saturday,10:00:AM,05:00:PM
74,Saturday,10:00:AM,05:00:PM
75,Saturday,10:00:AM,05:00:PM
76,Saturday,10:00:AM,05:00:PM
77,Saturday,12:00:PM,08:00:PM
78,Saturday,10:00:AM,05:00:PM
79,Saturday,10:00:AM,05:00:PM
80,Saturday,11:00:AM,05:00:PM
80,Saturday,11:00:AM,05:00:PM
81,Saturday,10:00:AM,05:00:PM
82,Saturday,10:00:AM,06:00:PM
83,Saturday,10:00:AM,05:00:PM
84,Saturday,10:00:AM,06:00:PM
85,Saturday,12:00:PM,05:00:PM
86,Saturday,10:00:AM,06:00:PM
